XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: November 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,11/2009,10/2009,Change (%),Market Share,"100,000 EUR round trip",in MEUR
ComStage ETF ATX,LU0392496690,17.80420943,2.42979305,6.3274591965764335,0.0013439631541818913,25.6337142857,26.330124
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,0.62390307,1.45018941,-0.5697782195223726,4.7095757953065446e-05,55.5535714286,104.156
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,29.909009774,38.065786288000005,-0.21428104629934774,0.002257702442355625,2.0902380952,254.7675
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,0.2466513,0.0371008,5.648139662756598,1.8618645238608827e-05,29.6579047619,40.2
ComStage ETF DAX TR,LU0378438732,434.574954001,732.201002018,-0.40648134487213305,0.03280419319958731,8.0134285714,404.6
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,19.45867147,5.714342820000001,2.4052334770492467,0.001468851374043311,41.2451904762,14.20112
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,18.09465841,4.612525809999999,2.9229392214501244,0.0013658878978120112,20.2918095238,29.88252
ComStage ETF DJ EURO STOXX 50 TR,LU0378434079,252.637536829,585.795195225,-0.5687271952922666,0.019070520496649007,9.452047619,261.085
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,0.633108806,1.06190323,-0.40379802216064453,4.7790659349264404e-05,8.524,118.0232
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,1.3299443,0.749035008,0.7755435804677369,0.00010039177214476449,23.6814285714,8.5171
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,5.567237077,5.233521467,0.06376502171706866,0.0004202467698159003,17.2084285714,48.048
ComStage ETF DJ STOXX 600 Basic Resources TR,LU0378435472,5.0658901279999995,6.211609398,-0.18444805469720893,0.00038240224604939305,15.8947619048,49.51743
ComStage ETF DJ STOXX 600 Chemicals TR,LU0378435555,0.40042084499999997,0.20319078899999998,0.9706643542783822,3.022604648424303e-05,15.9977619048,21.819700000000005
ComStage ETF DJ STOXX 600 Construction & Materials TR,LU0378435639,0.0191918,0.041002216,-0.5319326155444868,1.448706395183536e-06,21.4433809524,21.85662
