XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: February 2010,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,02/2010,01/2010,Change (%),Market Share,in MEUR,100.000€
Amundi ETF EONIA,FR0010718841,Swap-based,Capitalizing,0.0970564,,,7.444938538574097e-06,335.55,0.37775
Amundi ETF EURO STOXX 50,FR0010654913,Swap-based,Capitalizing,0.11189651,,,8.583283942439055e-06,481.11,12.20425
Amundi ETF Leveraged EURO STOXX 50,FR0010756072,Swap-based,Capitalizing,0.0001542,,,1.182827224838471e-08,9.77,36.72225
Amundi ETF Leveraged MSCI Europe Daily,FR0010756080,Swap-based,Capitalizing,0,,,0,28.23,17.98875
Amundi ETF Leveraged MSCI USA Daily,FR0010755611,Swap-based,Capitalizing,1.596147,,,0.0001224361949704443,7.51,14.857
Amundi ETF MSCI China,FR0010713784,Swap-based,Capitalizing,0.78296,,,6.0058781060929265e-05,48.56,75.04225
Amundi ETF MSCI EMU,FR0010655688,Swap-based,Capitalizing,0,,,0,138.03,19.11825
Amundi ETF MSCI Europe,FR0010655696,Swap-based,Capitalizing,0,,,0,220.35,10.04425
Amundi ETF MSCI Germany,FR0010655712,Swap-based,Capitalizing,0,,,0,34.9,4.969
Amundi ETF MSCI India,FR0010713727,Swap-based,Capitalizing,0,,,0,9.62,45.845
Amundi ETF MSCI Japan,FR0010688242,Swap-based,Capitalizing,0,,,0,48.71,18.3395
Amundi ETF MSCI Pacific ex Japan,FR0010713669,Swap-based,Capitalizing,0,,,0,73.91,47.293
Amundi ETF MSCI USA,FR0010688275,Swap-based,Capitalizing,1.065293,,,8.171579525485405e-05,122.75,13.83725
Amundi ETF MSCI World ex EMU,FR0010756114,Swap-based,Capitalizing,0,,,0,52.46,21.11625
Amundi ETF MSCI World ex Europe,FR0010756122,Swap-based,Capitalizing,0,,,0,6.18,23.82575
Amundi ETF Short DAX 30,FR0010791178,Swap-based,Capitalizing,0.49532571,,,3.799511899808335e-05,4.79,8.8085
Amundi ETF Short EURO STOXX 50,FR0010757781,Swap-based,Capitalizing,3.845e-05,,,2.9493973278235543e-09,4.07,22.90975
ComStage ETF ATX,LU0392496690,Swap-based,Capitalizing,2.76934532,3.51757864,-0.2127126061920821,0.0002124291205885219,26.104632,23.05725
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,Swap-based,Capitalizing,1.2500841,4.2455378,-0.7055534165777537,9.589062949531113e-05,113.542,49.96985
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,Swap-based,Capitalizing,22.756960116,84.754432663,-0.7314953401141145,0.0017456259390251651,356.902,0.9448
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,Swap-based,Capitalizing,5.78518147,0.1380587,40.903780565802805,0.00044376589775272675,65.94963503649635,27.24145
ComStage ETF DAX TR,LU0378438732,Swap-based,Capitalizing,352.454664651,309.978018566,0.13703115556871626,0.027035860756842816,404.09425,5.72165
ComStage ETF DJ EURO STOXX 50,LU0378434079,Swap-based,Capitalizing,215.002181442,176.423973993,0.21866760268380903,0.016492246018758643,255.73875,6.30125
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,Swap-based,Capitalizing,1.07457423,3.66968642,-0.7071754621475259,8.242773374538501e-05,13.47386,60.24885
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,Swap-based,Capitalizing,4.14028502,19.889128,-0.791831747475304,0.00031759026201341723,30.459959999999995,9.7862
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,Swap-based,Capitalizing,0.79277284,1.5080252,-0.47429735259065964,6.0811497941926926e-05,119.21295,7.979
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,Swap-based,Capitalizing,0.13423535,0.01475375,8.098388545285097,1.0296836998425476e-05,7.78305,21.2683
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,Swap-based,Capitalizing,7.55313881,4.880754549,0.5475350653614686,0.0005793812073574612,45.27599999999999,21.0092
ComStage ETF DJ STOXX 600 Basic Resources TR,LU0378435472,Swap-based,Capitalizing,24.20511929,15.785842304,0.533343538080741,0.0018567103811073177,52.03156,20.1278
ComStage ETF DJ STOXX 600 Chemicals TR,LU0378435555,Swap-based,Capitalizing,0.053859015,3.108923378,-0.9826759915084662,4.131381922502178e-06,22.286349999999995,14.3009
ComStage ETF DJ STOXX 600 Construction & Materials TR,LU0378435639,Swap-based,Capitalizing,0.05988415,0.034011735,0.7606908321495507,4.593554017918983e-06,21.61098,15.56395
ComStage ETF DJ STOXX 600 Financial Services TR,LU0378435712,Swap-based,Capitalizing,0.19432395,0.137193961,0.4164176657892398,1.4906073832564837e-05,7.71882,22.4905
ComStage ETF DJ STOXX 600 Food & Beverage TR,LU0378435803,Swap-based,Capitalizing,3.446553433,0.714156021,3.826051075189353,0.0002643759554093966,25.4664,13.3118
ComStage ETF DJ STOXX 600 Health Care TR,LU0378435985,Swap-based,Capitalizing,2.737252466,0.875356361,2.1270149940682272,0.00020996736303768103,53.70183,16.1116
ComStage ETF DJ STOXX 600 Industrial Goods & Services TR,LU0378436017,Swap-based,Capitalizing,0.42028736,0.04630519,8.076463351084403,3.223912656702253e-05,9.61136,17.0488
ComStage ETF DJ STOXX 600 Insurance TR,LU0378436108,Swap-based,Capitalizing,0.032571345,0.055780078,-0.4160756641466151,2.498461323969287e-06,40.74293,15.41735
ComStage ETF DJ STOXX 600 Media TR,LU0378436363,Swap-based,Capitalizing,1.0070529,2.55633776,-0.6060563999962196,7.72483519437441e-05,9.71776,18.60805
ComStage ETF DJ STOXX 600 Oil & Gas TR,LU0378436447,Swap-based,Capitalizing,5.66411027,2.869733808,0.9737406494672347,0.00043447884772005076,45.35594,12.25825
ComStage ETF DJ STOXX 600 Personal & Household Goods TR,LU0378436520,Swap-based,Capitalizing,0.21681792,3.744317458,-0.9420941406726203,1.663152649862838e-05,11.19816,12.88445
ComStage ETF DJ STOXX 600 Real Estate TR,LU0378436793,Swap-based,Capitalizing,0.06521165,0.22422958,-0.7091746325351009,5.002212386292975e-06,9.1105,30.483
ComStage ETF DJ STOXX 600 Retail TR,LU0378436876,Swap-based,Capitalizing,0.47089847,0.608733,-0.22642854913402088,3.612137032754747e-05,10.58255,16.0361
ComStage ETF DJ STOXX 600 Technology TR,LU0378437098,Swap-based,Capitalizing,0.183656441,0.127319673,0.44248282038864506,1.4087797563666692e-05,25.22052,21.51805
ComStage ETF DJ STOXX 600 Telecommunications TR,LU0378437171,Swap-based,Capitalizing,0.595041905,0.406796449,0.4627509813882371,4.564408334330396e-05,28.99017,12.4713
ComStage ETF DJ STOXX 600 TR,LU0378434582,Swap-based,Capitalizing,9.742051897,12.091771232,-0.19432383311897572,0.0007472869137199008,298.0745,16.6298
ComStage ETF DJ STOXX 600 Travel & Leisure TR,LU0378437254,Swap-based,Capitalizing,0.52185635,0.00115962,449.0235853124299,4.003021389330958e-05,8.38488,20.1861
ComStage ETF DJ STOXX 600 Utilities TR,LU0378437338,Swap-based,Capitalizing,5.998556868,4.266998269,0.4058025079550365,0.0004601333575364585,48.93422,12.6398
ComStage ETF Dow Jones Industrial Average TR,LU0378437502,Swap-based,Capitalizing,0.632491087,0.696555964,-0.09197376852838202,4.851671058179494e-05,133.36791,16.4086
ComStage ETF iBoxx € Liquid Sovereigns Diversified 10-15 TR,LU0444606452,Swap-based,Capitalizing,3.97527,0.0002228,17841.3249551167,0.0003049323983193015,10.11644217,60.56
ComStage ETF iBoxx € Liquid Sovereigns Diversified 1-3 TR,LU0444605991,Swap-based,Capitalizing,3.64777229,9.63783178,-0.6215152564117488,0.0002798109192362759,283.199192,15.1578
ComStage ETF iBoxx € Liquid Sovereigns Diversified 15+ TR,LU0444606536,Swap-based,Capitalizing,4.51651494,0.04947774,90.28377609809988,0.00034644985943071944,10.208730059999999,66.47515
ComStage ETF iBoxx € Liquid Sovereigns Diversified 25+ TR,LU0444606619,Swap-based,Capitalizing,0.43243468,0.6447,-0.32924665736001246,3.317091520546772e-05,9.952427290000001,54.1124
ComStage ETF iBoxx € Liquid Sovereigns Diversified 3-5 TR,LU0444606023,Swap-based,Capitalizing,0.28647845,1.72687143,-0.8341055129969925,2.1975000647829225e-05,325.158561,21.87185
ComStage ETF iBoxx € Liquid Sovereigns Diversified 3m-1 TR,LU0444605728,Swap-based,Capitalizing,4.26989785,0.48223326,7.854424205414617,0.00032753251778594385,0,4.31525
ComStage ETF iBoxx € Liquid Sovereigns Diversified 5-7 TR,LU0444606296,Swap-based,Capitalizing,0,1.32499686,-1,0,71.262,23.6757
ComStage ETF iBoxx € Liquid Sovereigns Diversified 7-10 TR,LU0444606379,Swap-based,Capitalizing,0,0,,0,50.4949,24.8283
ComStage ETF iBoxx € Liquid Sovereigns Diversified Overall TR,LU0444605645,Swap-based,Capitalizing,0.00826183,0.15193214,-0.9456215781598285,6.337430253558511e-07,49.20121334,22.4061
ComStage ETF iBoxx € Sovereigns Germany Capped 10+ TR,LU0444607005,Swap-based,Capitalizing,0.281924,3.92032139,-0.9280865082339589,2.162564089074975e-05,10.3094,17.3926
ComStage ETF iBoxx € Sovereigns Germany Capped 1-5 TR,LU0444606882,Swap-based,Capitalizing,0.07705578,0.59662034,-0.8708462068188959,5.9107441254970015e-06,103.31,5.8887
ComStage ETF iBoxx € Sovereigns Germany Capped 3m-2 TR,LU0444606700,Swap-based,Capitalizing,0.04690122,0.020198,1.3220724824240024,3.5976679568183263e-06,0,3.9564
ComStage ETF iBoxx € Sovereigns Germany Capped 5-10 TR,LU0444606965,Swap-based,Capitalizing,6.91439512,7.0610756,-0.020773107145319325,0.0005303848762144141,52.495,7.8711
ComStage ETF iBoxx € Sovereigns Inflation-Linked Euro-Inflation TR,LU0444607187,Swap-based,Capitalizing,0.37495306,0.052585,6.130418560425977,2.8761652879668786e-05,0,86.7971
ComStage ETF MSCI EM Eastern Europe TRN,LU0392495379,Swap-based,Capitalizing,2.75965375,1.39490561,0.978380279078525,0.00021168570600697663,20.88565,159.8986
ComStage ETF MSCI EMU TRN,LU0392494729,Swap-based,Capitalizing,1.55149924,0,,0.00011901138394216582,353.985309,26.9015
ComStage ETF MSCI Europe Large Cap TRN,LU0392496187,Swap-based,Capitalizing,0.9829,0.00561624,174.01032719399456,7.539564716561174e-05,25.415852,33.4089
ComStage ETF MSCI Europe Mid Cap TRN,LU0392496260,Swap-based,Capitalizing,0.91001835,0.0126913,70.7041083261762,6.980508946060859e-05,10.448352,37.0337
ComStage ETF MSCI Europe Small Cap TRN,LU0392496344,Swap-based,Capitalizing,1.56249519,2.43507033,-0.3583367302578073,0.0001198548540474163,12.122876119999999,53.87285
ComStage ETF MSCI Europe TRN,LU0392494646,Swap-based,Capitalizing,1.73848975,1.69725862,0.024292779847540302,0.0001333549290792884,68.76408,47.40625
ComStage ETF MSCI Japan TRN,LU0392495452,Swap-based,Capitalizing,3.72059688,0.85519828,3.3505663739174034,0.0002853971000203031,16.652056,46.23595
ComStage ETF MSCI North America TRN,LU0392494992,Swap-based,Capitalizing,2.18832585,0.6834244,2.202001347917926,0.0001678606609726192,41.446722,17.16445
ComStage ETF MSCI Pacific ex Japan TRN,LU0392495296,Swap-based,Capitalizing,0.68468831,0.758416,-0.0972127302166621,5.25206208558134e-05,27.20224,15.5106
ComStage ETF MSCI Pacific TRN,LU0392495023,Swap-based,Capitalizing,0.5970902,0.52840248,0.12999128997274956,4.580120260987339e-05,10.13625,37.8747
ComStage ETF MSCI Russia 30% Capped TRN,LU0392495536,Swap-based,Capitalizing,0.06858577,2.01653604,-0.9659883242156188,5.261032165532403e-06,13.3656,132.84065
ComStage ETF MSCI Taiwan TRN,LU0392495619,Swap-based,Capitalizing,0.92056236,0.0183254,49.234230085018616,7.061389244938739e-05,24.08532,210.4216
ComStage ETF MSCI USA Large Cap TRN,LU0392495882,Swap-based,Capitalizing,0.00772056,0.04456658,-0.8267634626664195,5.922236419584245e-07,9.959808,25.3705
ComStage ETF MSCI USA Mid Cap TRN,LU0392495965,Swap-based,Capitalizing,2.06195688,0.35380242,4.827989757673223,0.00015816723308086848,11.87934,30.3362
ComStage ETF MSCI USA Small Cap TRN,LU0392496005,Swap-based,Capitalizing,0.17539803,1.23217549,-0.8576517456941137,1.3454316800715622e-05,26.02282,44.7592
ComStage ETF MSCI USA TRN,LU0392495700,Swap-based,Capitalizing,11.29007801,10.68154479,0.056970525515158243,0.0008660318833189459,40.871763,83.363
ComStage ETF MSCI World TRN,LU0392494562,Swap-based,Capitalizing,16.8737994,15.52264337,0.0870441971636946,0.001294344313669459,198.8,18.08265
ComStage ETF NASDAQ-100,LU0378449770,Swap-based,Capitalizing,1.876704198,2.020273025,-0.07106407164942463,0.00014395699211174114,69.08625,15.32935
ComStage ETF Nikkei 225,LU0378453376,Swap-based,Capitalizing,2.932535251,7.984891166,-0.6327394838533482,0.00022494698655520874,84.6,24.29355
